,Team,Points,Cost
,West Ham,54,4.3
,West Ham,36,4.3
,Bournemouth,30,4.3
,Aston Villa,30,4.3
,Norwich,32,4.3
,Aston Villa,42,4.3
,Arsenal,42,4.3
,Everton,55,4.3
,Newcastle,64,4.3
,Newcastle,21,4.3
,Aston Villa,0,4.2
,Aston Villa,17,4.2
,Brighton,3,4.2
,Bournemouth,3,4.2
,Bournemouth,61,4.2
,Burnley,41,4.2
,Chelsea,0,4.2
,Leicester,24,4.2
,Sheffield Utd,0,4.2
,Watford,24,4.2
,Watford,36,4.2
,Wolves,23,4.2
,Burnley,42,4.2
,Everton,0,4.2
,Southampton,0,4.2
,Chelsea,48,4.2
,Southampton,9,4.2
,Man Utd,39,4.2
,Aston Villa,20,4.1
,Crystal Palace,64,4.1
,Leicester,9,4.1
,Norwich,23,4.1
,Southampton,10,4.1
,West Ham,25,4.1
,West Ham,10,4.1
,Sheffield Utd,4,4.1
