,Team,Points,Cost
,Man Utd,0,6.8
,Arsenal,4,6.7
,Crystal Palace,95,6.7
,Crystal Palace,62,6.7
,West Ham,61,6.6
,West Ham,13,6.5
,Aston Villa,118,6.4
,Everton,60,6.4
,Watford,78,6.4
,Chelsea,0,6.3
,Liverpool,14,6.3
,Man Utd,25,6.3
,Brighton,69,6.2
,Bournemouth,0,6.2
,Everton,49,6.2
,Leicester,112,6.2
,Liverpool,56,6.2
,Leicester,110,6.2
,Norwich,20,6.2
,Southampton,69,6.2
,Chelsea,111,6.2
,Burnley,99,6.1
,Man Utd,36,6.1
,West Ham,45,6.1
,Leicester,95,6.1
,Norwich,80,6
,West Ham,71,6
,Liverpool,3,6
,Bournemouth,8,5.9
,Burnley,20,5.9
,Aston Villa,15,5.8
,Brighton,26,5.8
,Liverpool,25,5.8
,Man Utd,89,5.8
,Newcastle,79,5.8
,Brighton,75,5.8
,Spurs,44,5.8
,Bournemouth,18,5.8
,Bournemouth,84,5.8
,Aston Villa,52,5.7
,Chelsea,37,5.7
,Liverpool,27,5.7
,Southampton,93,5.7
,Spurs,50,5.7
,Wolves,108,5.7
,Everton,38,5.6
,Crystal Palace,34,5.6
,Watford,93,5.6
,Watford,51,5.6
,Aston Villa,79,5.5
,Burnley,29,5.5
,Burnley,0,5.5
,Burnley,91,5.5
,Man City,73,5.5
,Southampton,33,5.5
,Brighton,1,5.5
,Aston Villa,61,5.4
,Brighton,0,5.4
,Burnley,67,5.4
,Crystal Palace,40,5.4
,Liverpool,45,5.4
,Liverpool,85,5.4
,Wolves,94,5.4
,Newcastle,55,5.4
,Spurs,9,5.4
,Newcastle,3,5.4
,Brighton,0,5.3
,Everton,42,5.3
,Liverpool,99,5.3
,Liverpool,45,5.3
,Man Utd,46,5.3
,Newcastle,36,5.3
,Norwich,33,5.3
,Watford,50,5.3
,Chelsea,58,5.3
,Arsenal,19,5.3
,Leicester,48,5.3
,Chelsea,45,5.2
,Crystal Palace,18,5.2
,Crystal Palace,75,5.2
,Man City,52,5.2
,Sheffield Utd,0,5.2
,Southampton,0,5.2
,Southampton,58,5.2
,Spurs,35,5.2
,West Ham,49,5.2
,West Ham,87,5.2
,Wolves,71,5.2
,Everton,16,5.2
,Southampton,40,5.2
,Chelsea,0,5.2
,Aston Villa,58,5.2
,Arsenal,35,5.2
,Arsenal,47,5.1
,Leicester,0,5.1
,Leicester,27,5.1
,Man City,19,5.1
,Man City,44,5.1
,Wolves,4,5.1
,Brighton,19,5
,Bournemouth,32,5
,Chelsea,49,5
,Everton,0,5
,Everton,0,5
,Leicester,24,5
,Leicester,67,5
,Newcastle,37,5
,Norwich,26,5
,Sheffield Utd,94,5
,West Ham,84,5
,Norwich,3,5
,Sheffield Utd,11,5
,Bournemouth,60,5
,Spurs,1,5
,Wolves,42,5
,Bournemouth,39,4.9
,Burnley,62,4.9
,Chelsea,81,4.9
,Crystal Palace,72,4.9
,Man Utd,64,4.9
,Newcastle,69,4.9
,Sheffield Utd,77,4.9
,Wolves,0,4.9
,Sheffield Utd,33,4.9
,Newcastle,5,4.9
,West Ham,6,4.9
,Aston Villa,0,4.8
,Brighton,64,4.8
,Bournemouth,48,4.8
,Man Utd,58,4.8
,Man Utd,33,4.8
,Norwich,62,4.8
,Southampton,66,4.8
,Spurs,49,4.8
,Spurs,25,4.8
,Watford,25,4.8
,Watford,62,4.8
,Wolves,0,4.8
,Everton,4,4.8
,Newcastle,0,4.8
,Brighton,64,4.8
,Burnley,1,4.8
,Sheffield Utd,8,4.8
,Arsenal,44,4.7
,Bournemouth,6,4.7
,Man Utd,2,4.7
,Newcastle,4,4.7
,Norwich,100,4.7
,Spurs,1,4.7
,Watford,0,4.7
,West Ham,66,4.7
,Wolves,8,4.7
,Sheffield Utd,7,4.7
,Newcastle,0,4.7
,Arsenal,23,4.7
,Arsenal,43,4.7
,Norwich,19,4.7
,Watford,5,4.7
,Spurs,4,4.7
,Brighton,30,4.6
,Bournemouth,2,4.6
,Southampton,0,4.6
,West Ham,6,4.6
,Burnley,15,4.6
,Aston Villa,0,4.5
,Liverpool,0,4.5
,Norwich,55,4.5
,West Ham,0,4.5
,Sheffield Utd,1,4.5
,Norwich,18,4.5
,Crystal Palace,1,4.5
,Chelsea,5,4.5
,Brighton,33,4.5
,Crystal Palace,15,4.5
,Newcastle,25,4.5
,Liverpool,1,4.5
,Everton,0,4.5
,Wolves,0,4.5
,Watford,0,4.5
,Bournemouth,0,4.5
,Bournemouth,0,4.5
,Wolves,0,4.5
,Wolves,0,4.5
,Liverpool,2,4.5
,Burnley,0,4.5
,Crystal Palace,1,4.5
,Southampton,5,4.5
,Crystal Palace,0,4.5
,Sheffield Utd,0,4.5
,West Ham,0,4.5
,Newcastle,0,4.5
,Aston Villa,2,4.5
,Norwich,10,4.5
,Crystal Palace,0,4.5
,Wolves,0,4.5
,Chelsea,1,4.5
,Aston Villa,11,4.4
,Brighton,48,4.4
,Aston Villa,6,4.4
,Everton,18,4.4
,Newcastle,61,4.4
,Southampton,0,4.4
,Southampton,0,4.4
,Spurs,0,4.4
,Watford,28,4.4
,Wolves,70,4.4
,Aston Villa,71,4.4
,Aston Villa,35,4.4
,West Ham,2,4.4
,Bournemouth,0,4.4
,Aston Villa,11,4.3
,Brighton,0,4.3
,Chelsea,0,4.3
,Crystal Palace,0,4.3
,Crystal Palace,31,4.3
,Leicester,1,4.3
,Leicester,7,4.3
,Leicester,30,4.3
,Man Utd,3,4.3
,Man Utd,1,4.3
,Norwich,16,4.3
,Norwich,25,4.3
,Southampton,36,4.3
,Spurs,4,4.3
,Watford,4,4.3
,West Ham,7,4.3
,West Ham,0,4.3
,Newcastle,0,4.3
,Sheffield Utd,9,4.3
,Arsenal,4,4.3
,Arsenal,0,4.2
,Arsenal,44,4.2
,Leicester,0,4.2
,Leicester,0,4.2
,Man City,124,11.8
,Arsenal,152,11.1
,Spurs,104,10.8
,Leicester,167,9.7
,Man City,97,9.6
,Liverpool,130,9.5
,Arsenal,78,9.4
,Man Utd,134,8.8
,Man Utd,0,8.5
,Wolves,147,8.1
,Chelsea,131,7.5
,Bournemouth,95,7.4
,Southampton,140,7.1
,West Ham,0,7
,West Ham,97,6.8
,Chelsea,28,6.6
,Chelsea,28,6.6
,Everton,111,6.5
,Norwich,127,6.5
,Man Utd,4,6.5
,Wolves,88,6.4
,Everton,40,6.3
,Watford,70,6.2
,Bournemouth,69,6.1
,Burnley,61,6.1
,Burnley,109,6.1
,Watford,88,6.1
,Southampton,0,6
,West Ham,9,6
,Watford,11,5.8
,Aston Villa,14,5.8
,Crystal Palace,33,5.7
,Crystal Palace,24,5.7
,Leicester,44,5.7
,Burnley,65,5.7
,Sheffield Utd,58,5.7
,Brighton,101,5.7
,Sheffield Utd,40,5.6
,West Ham,8,5.6
,Watford,36,5.5
,Newcastle,61,5.5
,Aston Villa,2,5.5
,Aston Villa,5,5.4
,Brighton,29,5.4
,Sheffield Utd,42,5.4
,Aston Villa,67,5.4
,Wolves,23,5.4
,Newcastle,25,5.4
,Burnley,26,5.3
,Norwich,18,5.3
,Southampton,39,5.3
,Brighton,3,5.2
,Norwich,13,5.2
,Crystal Palace,108,5.2
,Bournemouth,41,5.1
,Liverpool,52,5.1
,Newcastle,8,5.1
,Newcastle,0,5
,Newcastle,16,5
,Southampton,28,4.9
,Watford,0,4.9
,Brighton,5,4.7
,Southampton,53,4.7
,Watford,4,4.7
,Sheffield Utd,0,4.7
,Sheffield Utd,71,4.5
,Southampton,0,4.5
,Spurs,0,4.5
,Wolves,0,4.5
,Everton,2,4.5
,Everton,3,4.5
,Crystal Palace,0,4.5
,Chelsea,1,4.5
,Arsenal,12,4.4
,Arsenal,39,4.4
,Southampton,0,4.4
,Norwich,4,4.4
,Sheffield Utd,1,4.4
,Arsenal,0,4.4
,Bournemouth,1,4.3
,Crystal Palace,15,4.3
,Man Utd,53,4.3
,West Ham,0,4.3
,Spurs,2,4.3
,Liverpool,0,4.2
,Brighton,41,4.2
